HEADER,HIMA_20140911_v21,Neo
Default BT_NREC=0(off),1420,1520,BT side request mobile to disable NREC
Default Carkit_NREC=1(on),1027,1127,BT side request mobile to enable NREC
Default BT_NREC=1(on),1001,1101,BT side request mobile to enable NREC
Default Car-kit_NREC=0(off),1420,1520,BT side request mobile to disable NREC
JKDAP3264,1002,1102,
JKDAP3265,1003,1103,
LG HBS700,1007,1107,
Jabra Halo,1008,1108,
9XXBackBeat,1010,1110,
Nokia BH-505,1012,1112,
Motorola S10-HD,1013,1113,
Blueant V1 V5.3,1017,1117,
BlueAnt Q2 V1.1,1018,1118,
MB Bluetooth,1022,1122,
HTC BH M500,1023,1123,
PLT_BB903+,1024,1124,
Jawbone ERA,1025,1125,
Nokia BH-111,1026,1126,
Motorola HX550,1029,1129,
PLT_M50,1030,1130,
HM6450,1031,1131,
Motorola HK210,1032,1132,
HTC mini,1033,1133,
Nokia BH-106,1034,1134,
HS3000,1035,1135,
9xxPlantronics,1036,1136,
Jabra Stone,1037,1137,
Voyager PRO+,1038,1138,
Jabra BT3030,1039,1139,
HBH-IV840,1040,1140,
HBH-DS980,1041,1141,
Nokia BH-905,1042,1142,
Jabra SP200,1043,1143,
Nokia BH-216,1044,1144,
Parrot Minikit Slim v1.05,1203,1303,
Jabra Wave,1401,1501,
Motorola H790,1402,1502,
HBH-PV740,1403,1503,
Jabra EXTREME,1405,1505,
PLT_M155,1406,1506,
PLT_VoyagerPRO,1407,1507,
Jabra Stone2,1409,1509,
Jawbone ICON,1411,1511,
Motorola Finiti,1416,1516,
Jabra Cruiser2,1417,1517,
VH700,1422,1522,
MW600,1423,1523,
BHM400,1424,1524,
BHM300,1425,1525,
JAMBOX by Jawbone,1428,1528,
Motorola Roadster,1602,1702,
Motorola T605,1603,1703,
@^BMW [0-9a-zA-Z]{5}$,1604,1704,BMW
FORD Sync,1605,1705,
HANDS FREE,1606,1706,
JCI Honda,1607,1707,
JCI Mazda,1608,1708,
Luxgen Pilot,1609,1709,
Parrot MK9000,1610,1710,
Porsche-HFP,1611,1711,
Audi BTA0626,1612,1712,
BMW Combox,1613,1713,
JVC KW-XR 810,1614,1714,
Jawbone,1614,1714,
FORD Audio,1615,1715,
HTC Car V100,1616,1716,
Beats Wireless,1617,1717,
BlueAnt S4 V1.6,1618,1718,
HTC BH S600,1619,1719,
MFE XI Telecom,1420,1520,
MFE XI "CS",1420,1520,
MFE XI "03",1420,1520,
@^[0-9]{8}-CH[1-4]$,1801,1901,Metrico BT MOS
@^MT8855A [0-9]{4}$,1802,1902,VzW lab
Sennheiser MM550-X,1006,1106,
Motorola Elite Flip,1011,1111,
Motorola Elite Sliver,1404,1504,
RF-QX4,1408,1508,
Jabra SPORT v1.54.0,1420,1520,
WEP200,1412,1512,
R6280,1413,1513,
PBH-A118,1414,1514,
JABRA BT2045,1415,1515,
Jabra SOLEMATE v1.33.0,1418,1518,
BLU Logic 1211,1419,1519,
CAR MULTIMEDIA,1419,1519,
THINK+ Touch,1027,1127,
THINK+,1027,1127,
Jabra PLAY v0.1.0,1421,1521,
SBH20,1421,1521,
------,1426,1526,
------,1429,1529,
------,1601,1701,
END,,,
